feature,importance
log_skewed__MarketCap,0.4722130979541291
log_skewed__Revenue,0.1402147259146752
log_skewed__EnergyConsumption,0.08029763690065705
log_skewed__CarbonEmissions,0.057506333068862686
onehot__Industry_Retail,0.04413364525882336
scale_rest__ESG_Social,0.03391118753528028
scale_rest__ESG_Environmental,0.03285557927463346
scale_rest__ESG_Overall,0.028886360682401555
log_skewed__WaterUsage,0.02428121450023392
onehot__Industry_Transportation,0.02000450799472362
scale_rest__ESG_Governance,0.01841532628085357
onehot__Region_Asia,0.015617014383838336
onehot__Industry_Energy,0.010759514082392651
onehot__Industry_Utilities,0.005410358241967362
scale_rest__GrowthRate,0.005097941560312306
onehot__Region_Europe,0.0028467786936547646
onehot__Industry_Healthcare,0.0011232310064122559
onehot__Region_Africa,0.0010840708684329745
onehot__Region_North America,0.0009649210704824498
onehot__Region_Latin America,0.0008951046943857802
onehot__Region_Oceania,0.0008733022750794298
onehot__Industry_Manufacturing,0.0007409976389002044
onehot__Industry_Consumer Goods,0.0005648496996670894
onehot__Industry_Technology,0.0004883451675951895
scale_rest__Year,0.0004095987694067576
onehot__Region_Middle East,0.0004043564821985856
onehot__Industry_Finance,0.0
